realtime_start,realtime_end,date,value
2025-12-10,2025-12-10,1982-01-01,7.62374231
2025-12-10,2025-12-10,1982-02-01,7.65664807
2025-12-10,2025-12-10,1982-03-01,7.12899337
2025-12-10,2025-12-10,1982-04-01,7.40834717
2025-12-10,2025-12-10,1982-05-01,7.32004091
2025-12-10,2025-12-10,1982-06-01,7.34537864
2025-12-10,2025-12-10,1982-07-01,7.55898662
2025-12-10,2025-12-10,1982-08-01,6.87979814
2025-12-10,2025-12-10,1982-09-01,6.50722489
2025-12-10,2025-12-10,1982-10-01,6.27916218
2025-12-10,2025-12-10,1982-11-01,5.62621423
2025-12-10,2025-12-10,1982-12-01,5.88173142
2025-12-10,2025-12-10,1983-01-01,5.5433895
2025-12-10,2025-12-10,1983-02-01,5.86170487
2025-12-10,2025-12-10,1983-03-01,5.57383847
2025-12-10,2025-12-10,1983-04-01,5.70012244
2025-12-10,2025-12-10,1983-05-01,5.40239353
2025-12-10,2025-12-10,1983-06-01,5.80955824
2025-12-10,2025-12-10,1983-07-01,5.8185791
2025-12-10,2025-12-10,1983-08-01,6.26942178
2025-12-10,2025-12-10,1983-09-01,6.35502485
2025-12-10,2025-12-10,1983-10-01,6.03269333
2025-12-10,2025-12-10,1983-11-01,6.14393792
2025-12-10,2025-12-10,1983-12-01,6.14842454
2025-12-10,2025-12-10,1984-01-01,6.21530449
2025-12-10,2025-12-10,1984-02-01,6.1010181
2025-12-10,2025-12-10,1984-03-01,6.46257937
2025-12-10,2025-12-10,1984-04-01,6.62874874
2025-12-10,2025-12-10,1984-05-01,6.85146491
2025-12-10,2025-12-10,1984-06-01,7.34576833
2025-12-10,2025-12-10,1984-07-01,7.44614428
2025-12-10,2025-12-10,1984-08-01,6.87114867
2025-12-10,2025-12-10,1984-09-01,6.97565415
2025-12-10,2025-12-10,1984-10-01,6.60885326
2025-12-10,2025-12-10,1984-11-01,6.06648144
2025-12-10,2025-12-10,1984-12-01,6.07562511
2025-12-10,2025-12-10,1985-01-01,6.16190057
2025-12-10,2025-12-10,1985-02-01,6.01581783
2025-12-10,2025-12-10,1985-03-01,6.38383581
2025-12-10,2025-12-10,1985-04-01,6.19138804
2025-12-10,2025-12-10,1985-05-01,5.93748656
2025-12-10,2025-12-10,1985-06-01,5.1560053
2025-12-10,2025-12-10,1985-07-01,5.33392835
2025-12-10,2025-12-10,1985-08-01,5.59011814
2025-12-10,2025-12-10,1985-09-01,5.4232741
2025-12-10,2025-12-10,1985-10-01,5.40769529
2025-12-10,2025-12-10,1985-11-01,5.2424908
2025-12-10,2025-12-10,1985-12-01,5.08076952
2025-12-10,2025-12-10,1986-01-01,4.54718526
2025-12-10,2025-12-10,1986-02-01,4.62388041
2025-12-10,2025-12-10,1986-03-01,4.20918205
2025-12-10,2025-12-10,1986-04-01,3.94830491
2025-12-10,2025-12-10,1986-05-01,4.04659032
2025-12-10,2025-12-10,1986-06-01,4.58448381
2025-12-10,2025-12-10,1986-07-01,3.99302785
2025-12-10,2025-12-10,1986-08-01,3.9205807
2025-12-10,2025-12-10,1986-09-01,3.55172642
2025-12-10,2025-12-10,1986-10-01,3.86705459
2025-12-10,2025-12-10,1986-11-01,3.74388639
2025-12-10,2025-12-10,1986-12-01,3.54373436
2025-12-10,2025-12-10,1987-01-01,3.60456573
2025-12-10,2025-12-10,1987-02-01,3.57858135
2025-12-10,2025-12-10,1987-03-01,3.55478545
2025-12-10,2025-12-10,1987-04-01,3.76019917
2025-12-10,2025-12-10,1987-05-01,4.3597144
2025-12-10,2025-12-10,1987-06-01,4.33241266
2025-12-10,2025-12-10,1987-07-01,4.27752862
2025-12-10,2025-12-10,1987-08-01,4.48023176
2025-12-10,2025-12-10,1987-09-01,4.60420021
2025-12-10,2025-12-10,1987-10-01,4.95924181
2025-12-10,2025-12-10,1987-11-01,4.52543171
2025-12-10,2025-12-10,1987-12-01,4.57927551
2025-12-10,2025-12-10,1988-01-01,4.60538556
2025-12-10,2025-12-10,1988-02-01,4.09836913
2025-12-10,2025-12-10,1988-03-01,4.04273806
2025-12-10,2025-12-10,1988-04-01,4.41655648
2025-12-10,2025-12-10,1988-05-01,4.49627175
2025-12-10,2025-12-10,1988-06-01,4.65088068
2025-12-10,2025-12-10,1988-07-01,4.43535275
2025-12-10,2025-12-10,1988-08-01,4.54274482
2025-12-10,2025-12-10,1988-09-01,4.70786025
2025-12-10,2025-12-10,1988-10-01,4.46199391
2025-12-10,2025-12-10,1988-11-01,4.35872218
2025-12-10,2025-12-10,1988-12-01,4.61793872
2025-12-10,2025-12-10,1989-01-01,4.86319371
2025-12-10,2025-12-10,1989-02-01,4.73187982
2025-12-10,2025-12-10,1989-03-01,4.97372227
2025-12-10,2025-12-10,1989-04-01,4.87105004
2025-12-10,2025-12-10,1989-05-01,4.62966249
2025-12-10,2025-12-10,1989-06-01,4.41116564
2025-12-10,2025-12-10,1989-07-01,4.00267623
2025-12-10,2025-12-10,1989-08-01,3.73935273
2025-12-10,2025-12-10,1989-09-01,4.27707143
2025-12-10,2025-12-10,1989-10-01,4.29718333
